Metro Area,Unemployment Rate,Rank
"Ames, IA Metropolitan Statistical Area",1.2,1
"Iowa City, IA Metropolitan Statistical Area",1.5,2
"Mankato-North Mankato, MN Metropolitan Statistical Area",1.6,3
"Columbia, MO Metropolitan Statistical Area",1.8,4
"Dubuque, IA Metropolitan Statistical Area",1.8,4
"Burlington-South Burlington, VT Metropolitan NECTA",1.9,6
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",1.9,6
"Fargo, ND-MN Metropolitan Statistical Area",1.9,6
"Rochester, MN Metropolitan Statistical Area",1.9,6
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",1.9,6
"Dover-Durham, NH-ME Metropolitan NECTA",2,11
"Grand Forks, ND-MN Metropolitan Statistical Area",2,11
"Jefferson City, MO Metropolitan Statistical Area",2,11
"Madison, WI Metropolitan Statistical Area",2,11
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",2,11
"Idaho Falls, ID Metropolitan Statistical Area",2.1,16
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",2.1,16
"Manchester, NH Metropolitan NECTA",2.1,16
"Midland, TX Metropolitan Statistical Area",2.1,16
"Portsmouth, NH-ME Metropolitan NECTA",2.1,16
"Sioux City, IA-NE-SD Metropolitan Statistical Area",2.1,16
"Springfield, MO Metropolitan Statistical Area",2.1,16
"Cedar Rapids, IA Metropolitan Statistical Area",2.2,23
"Fond du Lac, WI Metropolitan Statistical Area",2.2,23
"Lincoln, NE Metropolitan Statistical Area",2.2,23
"St. Cloud, MN Metropolitan Statistical Area",2.2,23
"Sheboygan, WI Metropolitan Statistical Area",2.2,23
"Wausau, WI Metropolitan Statistical Area",2.2,23
"Appleton, WI Metropolitan Statistical Area",2.3,29
"Green Bay, WI Metropolitan Statistical Area",2.3,29
"Joplin, MO Metropolitan Statistical Area",2.3,29
"Logan, UT-ID Metropolitan Statistical Area",2.3,29
"Oshkosh-Neenah, WI Metropolitan Statistical Area",2.3,29
"St. Joseph, MO-KS Metropolitan Statistical Area",2.3,29
"Sioux Falls, SD Metropolitan Statistical Area",2.3,29
"Bismarck, ND Metropolitan Statistical Area",2.4,36
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",2.4,36
"Cape Girardeau, MO-IL Metropolitan Statistical Area",2.4,36
"Charlottesville, VA Metropolitan Statistical Area",2.4,36
"Eau Claire, WI Metropolitan Statistical Area",2.4,36
"Pocatello, ID Metropolitan Statistical Area",2.4,36
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",2.4,36
"Amarillo, TX Metropolitan Statistical Area",2.5,43
"Boise City, ID Metropolitan Statistical Area",2.5,43
"Danbury, CT Metropolitan NECTA",2.5,43
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",2.5,43
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",2.5,43
"Manhattan, KS Metropolitan Statistical Area",2.5,43
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",2.5,43
"Provo-Orem, UT Metropolitan Statistical Area",2.5,43
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",2.5,43
"Santa Rosa, CA Metropolitan Statistical Area",2.5,43
"Staunton-Waynesboro, VA Metropolitan Statistical Area",2.5,43
"Urban Honolulu, HI Metropolitan Statistical Area",2.5,43
"Winchester, VA-WV Metropolitan Statistical Area",2.5,43
"Ann Arbor, MI Metropolitan Statistical Area",2.6,56
"Charleston-North Charleston, SC Metropolitan Statistical Area",2.6,56
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",2.6,56
"Enid, OK Metropolitan Statistical Area",2.6,56
"Gainesville, GA Metropolitan Statistical Area",2.6,56
"Grand Island, NE Metropolitan Statistical Area",2.6,56
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",2.6,56
"Lawrence, KS Metropolitan Statistical Area",2.6,56
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.6,56
"Odessa, TX Metropolitan Statistical Area",2.6,56
"Oklahoma City, OK Metropolitan Statistical Area",2.6,56
"Roanoke, VA Metropolitan Statistical Area",2.6,56
"Austin-Round Rock, TX Metropolitan Statistical Area",2.7,68
"College Station-Bryan, TX Metropolitan Statistical Area",2.7,68
"Columbus, IN Metropolitan Statistical Area",2.7,68
"Harrisonburg, VA Metropolitan Statistical Area",2.7,68
"Kansas City, MO-KS Metropolitan Statistical Area",2.7,68
"Lexington-Fayette, KY Metropolitan Statistical Area",2.7,68
"Lubbock, TX Metropolitan Statistical Area",2.7,68
"Napa, CA Metropolitan Statistical Area",2.7,68
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",2.7,68
"Portland-South Portland, ME Metropolitan NECTA",2.7,68
"Salt Lake City, UT Metropolitan Statistical Area",2.7,68
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",2.7,68
"Trenton, NJ Metropolitan Statistical Area",2.7,68
"Worcester, MA-CT Metropolitan NECTA",2.7,68
"Asheville, NC Metropolitan Statistical Area",2.8,82
"Gainesville, FL Metropolitan Statistical Area",2.8,82
"Gettysburg, PA Metropolitan Statistical Area",2.8,82
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",2.8,82
"Jonesboro, AR Metropolitan Statistical Area",2.8,82
"Ogden-Clearfield, UT Metropolitan Statistical Area",2.8,82
"State College, PA Metropolitan Statistical Area",2.8,82
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",2.9,89
