,CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,STUSAB,State Name,STATENS,city_state,city_full_state,Miserable City,Happy City
0,10100,"Aberdeen, SD",Micropolitan Statistical Area,Aberdeen,46.0,100.0,SD,South Dakota,1785534,"Aberdeen, SD","Aberdeen, South Dakota",False,False
1,15100,"Brookings, SD",Micropolitan Statistical Area,Brookings,46.0,7580.0,SD,South Dakota,1785534,"Brookings, SD","Brookings, South Dakota",False,False
2,26700,"Huron, SD",Micropolitan Statistical Area,Huron,46.0,31060.0,SD,South Dakota,1785534,"Huron, SD","Huron, South Dakota",False,False
3,33580,"Mitchell, SD",Micropolitan Statistical Area,Mitchell,46.0,43100.0,SD,South Dakota,1785534,"Mitchell, SD","Mitchell, South Dakota",False,False
4,38180,"Pierre, SD",Micropolitan Statistical Area,Pierre,46.0,49600.0,SD,South Dakota,1785534,"Pierre, SD","Pierre, South Dakota",False,False
5,39660,"Rapid City, SD",Metropolitan Statistical Area,Rapid City,46.0,52980.0,SD,South Dakota,1785534,"Rapid City, SD","Rapid City, South Dakota",False,False
6,43620,"Sioux Falls, SD",Metropolitan Statistical Area,Sioux Falls,46.0,59020.0,SD,South Dakota,1785534,"Sioux Falls, SD","Sioux Falls, South Dakota",False,False
7,43940,"Spearfish, SD",Micropolitan Statistical Area,Spearfish,46.0,60020.0,SD,South Dakota,1785534,"Spearfish, SD","Spearfish, South Dakota",False,False
8,46820,"Vermillion, SD",Micropolitan Statistical Area,Vermillion,46.0,66700.0,SD,South Dakota,1785534,"Vermillion, SD","Vermillion, South Dakota",False,False
9,47980,"Watertown, SD",Micropolitan Statistical Area,Watertown,46.0,69300.0,SD,South Dakota,1785534,"Watertown, SD","Watertown, South Dakota",False,False
10,49460,"Yankton, SD",Micropolitan Statistical Area,Yankton,46.0,73060.0,SD,South Dakota,1785534,"Yankton, SD","Yankton, South Dakota",False,False
11,10140,"Aberdeen, WA",Micropolitan Statistical Area,Aberdeen,53.0,100.0,WA,Washington,1779804,"Aberdeen, WA","Aberdeen, Washington",False,False
12,13380,"Bellingham, WA",Metropolitan Statistical Area,Bellingham,53.0,5280.0,WA,Washington,1779804,"Bellingham, WA","Bellingham, Washington",False,False
13,14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Bremerton,53.0,7695.0,WA,Washington,1779804,"Bremerton, WA","Bremerton, Washington",False,False
14,14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Port Orchard,53.0,55785.0,WA,Washington,1779804,"Port Orchard, WA","Port Orchard, Washington",False,False
15,14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Silverdale,53.0,64365.0,WA,Washington,1779804,"Silverdale, WA","Silverdale, Washington",False,False
16,16500,"Centralia, WA",Micropolitan Statistical Area,Centralia,53.0,11160.0,WA,Washington,1779804,"Centralia, WA","Centralia, Washington",False,False
17,21260,"Ellensburg, WA",Micropolitan Statistical Area,Ellensburg,53.0,21240.0,WA,Washington,1779804,"Ellensburg, WA","Ellensburg, Washington",False,False
18,28420,"Kennewick-Richland, WA",Metropolitan Statistical Area,Kennewick,53.0,35275.0,WA,Washington,1779804,"Kennewick, WA","Kennewick, Washington",False,False
19,28420,"Kennewick-Richland, WA",Metropolitan Statistical Area,Richland,53.0,58235.0,WA,Washington,1779804,"Richland, WA","Richland, Washington",False,False
20,31020,"Longview, WA",Metropolitan Statistical Area,Longview,53.0,40245.0,WA,Washington,1779804,"Longview, WA","Longview, Washington",False,False
21,34180,"Moses Lake, WA",Micropolitan Statistical Area,Moses Lake,53.0,47245.0,WA,Washington,1779804,"Moses Lake, WA","Moses Lake, Washington",False,False
22,34580,"Mount Vernon-Anacortes, WA",Metropolitan Statistical Area,Anacortes,53.0,1990.0,WA,Washington,1779804,"Anacortes, WA","Anacortes, Washington",False,False
23,34580,"Mount Vernon-Anacortes, WA",Metropolitan Statistical Area,Mount Vernon,53.0,47560.0,WA,Washington,1779804,"Mount Vernon, WA","Mount Vernon, Washington",False,False
24,36020,"Oak Harbor, WA",Micropolitan Statistical Area,Oak Harbor,53.0,50360.0,WA,Washington,1779804,"Oak Harbor, WA","Oak Harbor, Washington",False,False
25,36500,"Olympia-Lacey-Tumwater, WA",Metropolitan Statistical Area,Lacey,53.0,36745.0,WA,Washington,1779804,"Lacey, WA","Lacey, Washington",False,False
26,36500,"Olympia-Lacey-Tumwater, WA",Metropolitan Statistical Area,Olympia,53.0,51300.0,WA,Washington,1779804,"Olympia, WA","Olympia, Washington",False,False
27,36500,"Olympia-Lacey-Tumwater, WA",Metropolitan Statistical Area,Tumwater,53.0,72905.0,WA,Washington,1779804,"Tumwater, WA","Tumwater, Washington",False,False
28,36830,"Othello, WA",Micropolitan Statistical Area,Othello,53.0,52215.0,WA,Washington,1779804,"Othello, WA","Othello, Washington",False,False
29,38820,"Port Angeles, WA",Micropolitan Statistical Area,Port Angeles,53.0,55365.0,WA,Washington,1779804,"Port Angeles, WA","Port Angeles, Washington",False,False
30,38900,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area,Vancouver,53.0,74060.0,WA,Washington,1779804,"Vancouver, WA","Vancouver, Washington",False,False
31,39420,"Pullman, WA",Micropolitan Statistical Area,Pullman,53.0,56625.0,WA,Washington,1779804,"Pullman, WA","Pullman, Washington",False,False
32,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Auburn,53.0,3180.0,WA,Washington,1779804,"Auburn, WA","Auburn, Washington",False,False
33,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Bellevue,53.0,5210.0,WA,Washington,1779804,"Bellevue, WA","Bellevue, Washington",False,False
34,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Everett,53.0,22640.0,WA,Washington,1779804,"Everett, WA","Everett, Washington",False,False
35,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Kent,53.0,35415.0,WA,Washington,1779804,"Kent, WA","Kent, Washington",False,False
36,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Lakewood,53.0,38038.0,WA,Washington,1779804,"Lakewood, WA","Lakewood, Washington",False,False
37,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Redmond,53.0,57535.0,WA,Washington,1779804,"Redmond, WA","Redmond, Washington",False,False
38,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Renton,53.0,57745.0,WA,Washington,1779804,"Renton, WA","Renton, Washington",False,False
39,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Seattle,53.0,63000.0,WA,Washington,1779804,"Seattle, WA","Seattle, Washington",False,False
40,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,Tacoma,53.0,70000.0,WA,Washington,1779804,"Tacoma, WA","Tacoma, Washington",False,False
41,43220,"Shelton, WA",Micropolitan Statistical Area,Shelton,53.0,63735.0,WA,Washington,1779804,"Shelton, WA","Shelton, Washington",False,False
42,44060,"Spokane-Spokane Valley, WA",Metropolitan Statistical Area,Spokane,53.0,67000.0,WA,Washington,1779804,"Spokane, WA","Spokane, Washington",False,False
43,44060,"Spokane-Spokane Valley, WA",Metropolitan Statistical Area,Spokane Valley,53.0,67167.0,WA,Washington,1779804,"Spokane Valley, WA","Spokane Valley, Washington",False,False
44,47460,"Walla Walla, WA",Metropolitan Statistical Area,Walla Walla,53.0,75775.0,WA,Washington,1779804,"Walla Walla, WA","Walla Walla, Washington",False,False
45,48300,"Wenatchee, WA",Metropolitan Statistical Area,Wenatchee,53.0,77105.0,WA,Washington,1779804,"Wenatchee, WA","Wenatchee, Washington",False,False
46,49420,"Yakima, WA",Metropolitan Statistical Area,Yakima,53.0,80010.0,WA,Washington,1779804,"Yakima, WA","Yakima, Washington",False,False
47,10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,48.0,1000.0,TX,Texas,1779801,"Abilene, TX","Abilene, Texas",False,False
48,10860,"Alice, TX",Micropolitan Statistical Area,Alice,48.0,1852.0,TX,Texas,1779801,"Alice, TX","Alice, Texas",False,False
49,11100,"Amarillo, TX",Metropolitan Statistical Area,Amarillo,48.0,3000.0,TX,Texas,1779801,"Amarillo, TX","Amarillo, Texas",False,False
50,11380,"Andrews, TX",Micropolitan Statistical Area,Andrews,48.0,3216.0,TX,Texas,1779801,"Andrews, TX","Andrews, Texas",False,False
51,11980,"Athens, TX",Micropolitan Statistical Area,Athens,48.0,4504.0,TX,Texas,1779801,"Athens, TX","Athens, Texas",False,False
52,12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,Austin,48.0,5000.0,TX,Texas,1779801,"Austin, TX","Austin, Texas",False,True
53,12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,Georgetown,48.0,29336.0,TX,Texas,1779801,"Georgetown, TX","Georgetown, Texas",False,False
