City,State,City_Budget,Population,Spend_Per_Citizen,State_Budget,Population,Spend_Per_Citizen,City_Pct_of_State,Higher
Albuquerque,NM,893000000,556495,1605,16200000000,2086895,7763,0.2067,State
Anaheim,CA,1600000000,345012,4638,2.213E+11,38431393,5758,0.8054,State
Anchorage,AK,471000000,300950,1565,11600000000,737259,15734,0.0995,State
Arlington,TX,490000000,379577,1291,1E+11,26505637,3773,0.3422,State
Atlanta,GA,533000000,447841,1190,41400000000,9994759,4142,0.2873,State
Aurora,CO,591000000,345803,1710,30300000000,5272086,5747,0.2976,State
Austin,TX,3500000000,885400,3953,1E+11,26505637,3773,1.0478,City
Bakersfield,CA,418000000,363630,1150,2.213E+11,38431393,5758,0.1996,State
Baltimore,MD,1648000000,622104,2649,37300000000,5938737,6281,0.4218,State
Baton Rouge,LA,819000000,229426,3570,28800000000,4629284,6221,0.5738,State
Birmingham,AL,390000000,212113,1839,23900000000,4833996,4944,0.3719,State
Boise,ID,487000000,214237,2273,7300000000,1612843,4526,0.5022,State
Boston,MA,2700000000,645966,4180,56900000000,6708874,8481,0.4928,State
Buffalo,NY,482000000,258959,1861,1.34E+11,19695680,6804,0.2736,State
Chandler,AZ,783000000,249146,3143,28900000000,6634997,4356,0.7215,State
Charlotte,NC,2100000000,792862,2649,43800000000,9848917,4447,0.5956,State
Chesapeake,VA,923000000,230571,4003,44700000000,8270345,5405,0.7407,State
Chicago,IL,7300000000,2700000,2704,70400000000,12890552,5461,0.4951,State
Chula Vista,CA,269000000,256780,1048,2.213E+11,38431393,5758,0.1821,State
Cincinnati,OH,358000000,297517,1203,59100000000,11572005,5107,0.2356,State
Cleveland,OH,1470000000,390113,3768,59100000000,11572005,5107,0.7378,State
Colorado Springs,CO,249000000,439886,566,30300000000,5272086,5747,0.0985,State
Columbus,OH,814000000,822553,990,59100000000,11572005,5107,0.1938,State
Corpus Christi,TX,772000000,316381,2440,1E+11,26505637,3773,0.6468,State
Dallas,TX,2800000000,1200000,2333,1E+11,26505637,3773,0.6185,State
Denver,CO,1490000000,649495,2294,30300000000,5272086,5747,0.3992,State
