rank,city_state_full,max_average_elev_change
1,"Boulder, Colorado",2856.3669143676757
2,"Santa Cruz, California",2781.39453125
3,"Charlottesville, Virginia",585.811227834292
4,"Fort Collins, Colorado",2355.252295939128
5,"San Luis Obispo, California",2764.922530562789
6,"San Jose, California",143.87011733347055
7,"Provo, Utah",2287.2970123291016
8,"Stamford, Connecticut",249.08855168621974
9,"Barnstable Town, Massachusetts",170.8592472412217
10,"Anchorage, Alaska",409.7190971374512
11,"Naples, Florida",413.2387390136719
12,"Santa Barbara, California",865.236727333069
13,"Salina, California",409.9336242675781
14,"North Port, Florida",31.48837355795232
15,"Honolulu, Hawaii",432.0757027864456
16,"Ann Arbor, Michigan",261.0966118760068
17,"Oakland, California",256.7429077441671
18,"Colorado Springs, Colorado",2279.0706619360512
19,"Manchester, New Hampshire",377.1517245844136
20,"Thousand Oaks, California",1064.055676113475
21,"Arlington, Virginia",213.80586101527663
22,"Saint Paul, Minnesota",335.58857574803113
23,"San Diego, California",832.9162400220058
24,"Portland, Maine",306.8061648753165
25,"Austin, Texas",326.69894731612436
26,"Detroit, Michigan",260.50592069208284
27,"Cleveland, Ohio",327.8151102529882
28,"Dayton, Ohio",298.42595931734445
29,"Macon, Georgia",254.7610370448148
30,"Toledo, Ohio",268.61083983030073
31,"Birmingham, Alabama",269.6955000558117
32,"Rockford, Illinois",282.3534419343855
33,"San Bernadino, California",975.1779133374
34,"Akron, Ohio",330.50654956226316
35,"Modesto, California",1102.3921499169583
36,"Buffalo, New York",455.49552865035713
37,"Springfield, Massachusetts",323.39906088811784
38,"Memphis, Tennessee",148.03711467231648
39,"Las Vegas, Nevada",1141.6810073852535
40,"Newark, New Jersey",306.0475074234429
41,"Fort Lauderdale, Florida",5.8131192063584045
42,"Chattanooga, Tennessee",436.5498240129149
43,"Port St. Lucie, Florida",433.65752276252294
44,"Fayetteville, North Carolina",154.47341654270969
45,"Fresno, California",2150.295138113839
46,"Cape Coral, Florida",411.4336757659912
47,"Salem, Oregon",635.8341975026318
48,"Miami, Florida",797.5265655517578
49,"Tucson, Arizona",1374.5127643403553
50,"Mobile, Alabama",77.56147543059456
51,"Bridgeport, Connecticut",231.91718447921625
52,"Jacksonville, Florida",20.72639653225209
53,"Columbus, Georgia",254.5547891538571
54,"Springfield, Missouri",364.9442157087983
55,"Jackson, Mississippi",121.87303177742729
56,"Philadelphia, Pennsylvania",212.36592572321393
57,"Tacoma, Washington",1005.1447363805287
58,"Indianapolis, Indiana",281.80582597072566
59,"Savannah, Georgia",232.9847650719969
60,"Stockton, California",982.8424959353038
61,"St Petersburg, Florida",31.723835003853655
62,"Rochester, New York",342.7754663583161
63,"Eugene, Oregon",1037.5604199496183
64,"Baltimore, Maryland",202.35627085329003
65,"Vancouver, Washington",737.588611570179
66,"Cincinnati, Ohio",291.5775858484837
67,"Reno, Nevada",1717.6172637939453
68,"Sacramento, California",1230.2219356355213
69,"Spokane, Washington",1030.4482285272506
70,"Clarksville, Tennessee",218.2438283191559
71,"New Orleans, Louisiana",137.52629902809858
72,"Hialeah, Florida",4.518199135412325
73,"Kansas City, Kansas",313.795802464635
74,"Tampa, Florida",28.822614436938352
75,"Montgomery, Alabama",217.96120767351826
