rank_key,city,score
1,"Fremont, CA",79.89
2,"Bismarck, ND",78.37
3,"San Jose, CA",76.44
4,"Pearl City, HI",75.19
5,"Plano, TX",73.62
6,"Fargo, ND",73.46
7,"Sioux Falls, SD",71.96
8,"Irvine, CA",71.17
9,"Huntington Beach, CA",70.69
10,"Grand Prairie, TX",70.54
11,"Madison, WI",70.06
12,"Columbia, MD",69.53
13,"San Francisco, CA",69.28
14,"Scottsdale, AZ",68.61
15,"Overland Park, KS",68.12
16,"Santa Clarita, CA",67.95
17,"Glendale, CA",67.46
18,"Oakland, CA",67.18
19,"St. Paul, MN",67.16
20,"Gilbert, AZ",66.24
21,"Austin, TX",66.11
22,"Santa Rosa, CA",66.05
23,"Lincoln, NE",65.99
24,"Des Moines, IA",65.98
25,"Irving, TX",65.78
26,"Honolulu, HI",65.72
27,"Garden Grove, CA",65.68
28,"Cedar Rapids, IA",65.62
29,"Anaheim, CA",65.58
30,"Garland, TX",65.57
31,"Minneapolis, MN",65.42
32,"San Diego, CA",65.37
33,"Charleston, SC",64.9
34,"Seattle, WA",64.87
35,"Chula Vista, CA",64.55
36,"Rancho Cucamonga, CA",64.47
37,"Cape Coral, FL",64.26
38,"Port St. Lucie, FL",64.1
39,"Fort Worth, TX",64.09
40,"Chandler, AZ",63.96
41,"Raleigh, NC",63.9
42,"Peoria, AZ",63.89
43,"Oceanside, CA",63.82
44,"Portland, ME",63.71
45,"Aurora, IL",63.7
46,"El Paso, TX",63.69
47,"Brownsville, TX",63.59
48,"Chesapeake, VA",63.21
49,"Pembroke Pines, FL",63.2
50,"Arlington, TX",63.17
51,"Charlotte, NC",63.11
52,"Burlington, VT",63.1
53,"Oxnard, CA",62.89
54,"Virginia Beach, VA",62.8
55,"Aurora, CO",62.55
56,"Durham, NC",62.54
57,"Boise, ID",62.27
58,"Tempe, AZ",62.16
59,"Grand Rapids, MI",62.14
60,"Missoula, MT",61.99
61,"Yonkers, NY",61.83
62,"Omaha, NE",61.53
63,"Boston, MA",61.53
64,"Rapid City, SD",61.47
65,"Billings, MT",61.43
66,"Denver, CO",61.39
67,"Fontana, CA",61.38
68,"Colorado Springs, CO",61.24
69,"Juneau, AK",61
