Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
ADAIR-CASEY COMM SCHOOL DISTRICT,Adair,IA,11698,9249,5862
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Adel,IA,14954,9776,6152
AGWSR COMM SCHOOL DISTRICT,Ackley,IA,16061,8939,5835
AHSTW Comm School District,Avoca,IA,12495,9700,6446
AKRON WESTFIELD COMM SCHOOL DISTRICT,Akron,IA,12550,11047,7320
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Albert City,IA,13719,8700,5919
ALBIA COMM SCHOOL DISTRICT,Albia,IA,10651,9611,6149
ALBURNETT COMM SCHOOL DISTRICT,Alburnett,IA,13088,10610,6873
ALDEN COMM SCHOOL DISTRICT,Alden,IA,13315,10435,6957
ALGONA COMM SCHOOL DISTRICT,Algona,IA,13373,11420,8073
ALLAMAKEE COMM SCHOOL DISTRICT,Waukon,IA,12230,10091,5833
ALTA COMM SCHOOL DISTRICT,Alta,IA,11837,10140,6879
AMES COMM SCHOOL DISTRICT,Ames,IA,18690,11034,7649
ANAMOSA COMM SCHOOL DISTRICT,Anamosa,IA,20643,9713,5979
ANDREW COMM SCHOOL DISTRICT,Andrew,IA,12518,8522,5209
ANKENY COMM SCHOOL DISTRICT,Ankeny,IA,11549,9320,6018
APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT,Parkersburg,IA,11578,10256,6721
AR-WE-VA COMM SCHOOL DISTRICT,Westside,IA,11799,9250,6026
ATLANTIC COMM SCHOOL DISTRICT,Atlantic,IA,11761,11185,7626
AUDUBON COMM SCHOOL DISTRICT,Audubon,IA,13458,10075,6226
AURELIA COMM SCHOOL DISTRICT,Aurelia,IA,13019,10792,7382
BALLARD COMM SCHOOL DISTRICT,Huxley,IA,10212,9189,5790
BATTLE CREEK-IDA GROVE COMM SCHOOL DISTRICT,Ida Grove,IA,11916,10143,7272
BAXTER COMM SCHOOL DISTRICT,Baxter,IA,12570,11447,6949
BCLUW COMM SCHOOL DISTRICT,Conrad,IA,12925,10330,6147
BEDFORD COMM SCHOOL DISTRICT,Bedford,IA,13807,10428,6217
BELLE PLAINE COMM SCHOOL DISTRICT,Belle Plaine,IA,10928,9979,6578
BELLEVUE COMM SCHOOL DISTRICT,Bellevue,IA,11290,10030,6254
BELMOND-KLEMME COMM SCHOOL DISTRICT,Belmond,IA,11725,9839,6664
BENNETT COMM SCHOOL DISTRICT,Bennett,IA,13005,8764,5879
BENTON COMM SCHOOL DISTRICT,Van Horne,IA,10784,9437,5645
BETTENDORF COMM SCHOOL DISTRICT,Bettendorf,IA,12008,10360,6767
BONDURANT-FARRAR COMM SCHOOL DISTRICT,Bondurant,IA,11160,8929,5442
BOONE COMM SCHOOL DISTRICT,Boone,IA,14193,9894,6459
BOYDEN-HULL COMM SCHOOL DISTRICT,Hull,IA,11552,9879,6757
BOYER VALLEY COMM SCHOOL DISTRICT,Dunlap,IA,11728,10745,6832
BROOKLYN-GUERNSEY-MALCOM COMM SCHOOL DISTRICT,Brooklyn,IA,11828,10326,6480
BURLINGTON COMM SCHOOL DISTRICT,Burlington,IA,11110,9468,6114
CAL COMM SCHOOL DISTRICT,Latimer,IA,13557,11419,7595
CALAMUS-WHEATLAND COMM SCHOOL DISTRICT,Wheatland,IA,11572,9823,6293
CAM COMM SCHOOL DISTRICT,Anita,IA,17293,15174,11397
CAMANCHE COMM SCHOOL DISTRICT,Camanche,IA,13171,12105,7639
CARDINAL COMM SCHOOL DISTRICT,Eldon,IA,14689,10938,6428
CARLISLE COMM SCHOOL DISTRICT,Carlisle,IA,10076,9001,5527
CARROLL COMM SCHOOL DISTRICT,Carroll,IA,11163,9434,6289
CEDAR FALLS COMM SCHOOL DISTRICT,Cedar Falls,IA,11762,10290,6955
CEDAR RAPIDS COMM SCHOOL DISTRICT,Cedar Rapids,IA,13238,10826,6638
CENTER POINT-URBANA COMM SCHOOL DISTRICT,Center Point,IA,12862,10138,6786
CENTERVILLE COMM SCHOOL DISTRICT,Centerville,IA,10693,9566,6475
CENTRAL CITY COMM SCHOOL DISTRICT,Central City,IA,17396,9150,5487
CENTRAL COMM SCHOOL DISTRICT,Elkader,IA,11782,9983,6304
CENTRAL DECATUR COMM SCHOOL DISTRICT,Leon,IA,12074,10871,6141
CENTRAL DEWITT SCHOOL DISTRICT,De Witt,IA,11343,9650,6072
